"","Header","Conjugate","Antigen","MolWt","Short","Panel","Role"
"In113","(In113)Di","In113","CD3",113,"CD3","A&B","surface"
"In115","(In115)Di","In115","CD45",115,"CD45","A&B","surface"
"I127","(I127)Di","I127","Uridine",127,"Uridine","A&B","other"
"La139","(La139)Di","La139","p-RPS6 (S235/36)",139,"pS6","B (La-139),A (Lu-175)","target"
"Pr141","(Pr141)Di","Pr141","pATM (S1981)",141,"pATM","B","target"
"Nd142","(Nd142)Di","Nd142","CD7",142,"CD7","A&B","surface"
"Nd143","(Nd143)Di","Nd143","CD71",143,"CD71","A&B","surface"
"Nd144","(Nd144)Di","Nd144","CD235",144,"CD235","A&B","surface"
"Nd145","(Nd145)Di","Nd145","pAkt (S473)",145,"pAKT","B","target"
"Nd146","(Nd146)Di","Nd146","Histone 3 (K9ac)",146,"H3Kac","B","target"
"Sm147","(Sm147)Di","Sm147","CD56",147,"CD56","A&B","surface"
"Nd148","(Nd148)Di","Nd148","CD34",148,"CD34","A&B","surface"
"Sm149","(Sm149)Di","Sm149","cMyc",149,"cMyc","B","target"
"Nd150","(Nd150)Di","Nd150","CD117",150,"CD117","A&B","surface"
"Eu151","(Eu151)Di","Eu151","CD123",151,"CD123","A&B","surface"
"Sm152","(Sm152)Di","Sm152","CD33",152,"CD33","A&B","surface"
"Eu153","(Eu153)Di","Eu153","HLA-DR",153,"HLA-DR","A&B","surface"
"Sm154","(Sm154)Di","Sm154","pMAPKAPK2 (T334)",154,"pMAPK","B","target"
"Gd155","(Gd155)Di","Gd155","empty",155,"empty","A&B","other"
"Gd156","(Gd156)Di","Gd156","pSTAT3 (Y705)",156,"STAT3","B","target"
"Gd157","(Gd157)Di","Gd157","pSTAT5 (Y694)",157,"STAT5","B","target"
"Gd158","(Gd158)Di","Gd158","Ki-67",158,"Ki-67","A&B","target"
"Tb159","(Tb159)Di","Tb159","CD38",159,"CD38","A&B","surface"
"Gd160","(Gd160)Di","Gd160","CD14",160,"CD14","A&B","surface"
"Dy161","(Dy161)Di","Dy161","CD16",161,"CD16","A&B","surface"
"Dy162","(Dy162)Di","Dy162","CD11b",162,"CD11b","A&B","surface"
"Dy163","(Dy163)Di","Dy163","empty",163,"empty","A&B","other"
"Dy164","(Dy164)Di","Dy164","CD15",164,"CD15","A&B","surface"
"Ho165","(Ho165)Di","Ho165","pNF-kB (p65) (S529)",165,"pNFkB","B","target"
"Er166","(Er166)Di","Er166","CD321",166,"CD321","A&B","surface"
"Er167","(Er167)Di","Er167","CD99",167,"CD99","A&B","target"
"Er168","(Er168)Di","Er168","pERK 1/2 (T202/Y204)",168,"pErk","B","target"
"Tm169","(Tm169)Di","Tm169","BCat",169,"BCat","B","target"
"ER170","(ER170)Di","ER170","4EBP1",170,"4EBP1","B","target"
"Yb171","(Yb171)Di","Yb171","cleaved-PARP(D214)",171,"cPARP","A&B","target"
"Yb172","(Yb172)Di","Yb172","CD10",172,"CD10","A&B","surface"
"Yb173","(Yb173)Di","Yb173","CD19",173,"CD19","A&B","surface"
"Yb174","(Yb174)Di","Yb174","CD20",174,"CD20","A&B","surface"
"Lu175","(Lu175)Di","Lu175","pSMAD1/5(S463/S465)",175,"SMAD","B","target"
"Yb176","(Yb176)Di","Yb176","pCREB (S133)",176,"pCreb","B","target"
"Ir191","(Ir191)Di","Ir191","DNA-1",191,"DNA-1","A&B","other"
"Ir193","(Ir193)Di","Ir193","DNA-2",193,"DNA-2","A&B","target"
